Project	Task	CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	PF_READS_IMPROPER_PAIRS	PCT_PF_READS_IMPROPER_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	SAMPLE	LIBRARY	READ_GROUP
kfdrc-harmonization/sd-46sk55a3	alignment-BS_5X7BNK21	SECOND_OF_PAIR	438524574	438524574	1	0	437230351	0.997049	64140403366	406952310	60199538339	57489624606	0	0.009008	0.008182	0.000228	150	437200415	0.999932	10869599	0.02486	0	0.499081	0.032073	0.000037	BS_5X7BNK21		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_5X7BNK21	PAIR	877049148	877049148	1	0	875724989	0.99849	129244708708	815971313	121226097315	117460766079	0	0.007025	0.006222	0.000234	150	874400830	0.998488	23003485	0.026268	0	0.499397	0.031748	0.000021	BS_5X7BNK21		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_5X7BNK21	FIRST_OF_PAIR	438524574	438524574	1	0	438494638	0.999932	65104305342	409019003	61026558976	59971141473	0	0.005072	0.004288	0.000239	150	437200415	0.997048	12133886	0.027672	0	0.499711	0.031424	0.000005	BS_5X7BNK21	GMKFWC.CDH01-0799-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_5X7BNK21	SECOND_OF_PAIR	438524574	438524574	1	0	437230351	0.997049	64140403366	406952310	60199538339	57489624606	0	0.009008	0.008182	0.000228	150	437200415	0.999932	10869599	0.02486	0	0.499081	0.032073	0.000037	BS_5X7BNK21	GMKFWC.CDH01-0799-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_5X7BNK21	PAIR	877049148	877049148	1	0	875724989	0.99849	129244708708	815971313	121226097315	117460766079	0	0.007025	0.006222	0.000234	150	874400830	0.998488	23003485	0.026268	0	0.499397	0.031748	0.000021	BS_5X7BNK21	GMKFWC.CDH01-0799-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_EGK0JS3M	FIRST_OF_PAIR	393267219	393267219	1	0	393245101	0.999944	58680472118	384621970	57448015762	56666155748	0	0.003921	0.003842	0.00018	150	391576283	0.995756	2439002	0.006202	0	0.499824	0.003807	0.000005	BS_EGK0JS3M		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_EGK0JS3M	SECOND_OF_PAIR	393267219	393267219	1	0	391598401	0.995757	57858939896	382900185	56660586983	54695779835	0	0.00739	0.007292	0.000175	150	391576283	0.999944	792302	0.002023	0	0.499576	0.004471	0.000029	BS_EGK0JS3M		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_EGK0JS3M	PAIR	786534438	786534438	1	0	784843502	0.99785	116539412014	767522155	114108602745	111361935583	0	0.005643	0.005555	0.000177	150	783152566	0.997846	3231304	0.004117	0	0.4997	0.004139	0.000017	BS_EGK0JS3M		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_EGK0JS3M	FIRST_OF_PAIR	393267219	393267219	1	0	393245101	0.999944	58680472118	384621970	57448015762	56666155748	0	0.003921	0.003842	0.00018	150	391576283	0.995756	2439002	0.006202	0	0.499824	0.003807	0.000005	BS_EGK0JS3M	GMKFWC.CDH788-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_EGK0JS3M	SECOND_OF_PAIR	393267219	393267219	1	0	391598401	0.995757	57858939896	382900185	56660586983	54695779835	0	0.00739	0.007292	0.000175	150	391576283	0.999944	792302	0.002023	0	0.499576	0.004471	0.000029	BS_EGK0JS3M	GMKFWC.CDH788-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_EGK0JS3M	PAIR	786534438	786534438	1	0	784843502	0.99785	116539412014	767522155	114108602745	111361935583	0	0.005643	0.005555	0.000177	150	783152566	0.997846	3231304	0.004117	0	0.4997	0.004139	0.000017	BS_EGK0JS3M	GMKFWC.CDH788-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_H3SATVXB	FIRST_OF_PAIR	401996483	401996483	1	0	401976730	0.999951	59999401784	389125131	58131895893	57411495693	0	0.003806	0.003676	0.000176	150	400257641	0.995723	3995663	0.00994	0	0.499772	0.006753	0.000004	BS_H3SATVXB		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_H3SATVXB	SECOND_OF_PAIR	401996482	401996482	1	0	400277393	0.995724	59153987450	387203948	57333922736	55248757911	0	0.007749	0.00757	0.000172	150	400257640	0.999951	2296327	0.005737	0	0.499636	0.007658	0.000023	BS_H3SATVXB		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_H3SATVXB	PAIR	803992965	803992965	1	0	802254123	0.997837	119153389234	776329079	115465818629	112660253604	0	0.005764	0.005609	0.000174	150	800515281	0.997833	6291990	0.007843	0	0.499704	0.007205	0.000014	BS_H3SATVXB		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_H3SATVXB	FIRST_OF_PAIR	401996483	401996483	1	0	401976730	0.999951	59999401784	389125131	58131895893	57411495693	0	0.003806	0.003676	0.000176	150	400257641	0.995723	3995663	0.00994	0	0.499772	0.006753	0.000004	BS_H3SATVXB	GMKFWC.CDH795-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_H3SATVXB	SECOND_OF_PAIR	401996482	401996482	1	0	400277393	0.995724	59153987450	387203948	57333922736	55248757911	0	0.007749	0.00757	0.000172	150	400257640	0.999951	2296327	0.005737	0	0.499636	0.007658	0.000023	BS_H3SATVXB	GMKFWC.CDH795-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_H3SATVXB	PAIR	803992965	803992965	1	0	802254123	0.997837	119153389234	776329079	115465818629	112660253604	0	0.005764	0.005609	0.000174	150	800515281	0.997833	6291990	0.007843	0	0.499704	0.007205	0.000014	BS_H3SATVXB	GMKFWC.CDH795-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_Y2A1ZWZ8	FIRST_OF_PAIR	395666524	395666524	1	0	395642836	0.99994	59048806565	382644897	57157491990	56487884447	0	0.003813	0.003658	0.000179	150	394176016	0.996293	3304069	0.008351	0	0.499784	0.005465	0.000009	BS_Y2A1ZWZ8		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_Y2A1ZWZ8	SECOND_OF_PAIR	395666524	395666524	1	0	394199704	0.996293	58257300657	380987904	56406288526	54499070044	0	0.007384	0.007182	0.000175	150	394176016	0.99994	1860937	0.004721	0	0.499693	0.006253	0.000036	BS_Y2A1ZWZ8		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_Y2A1ZWZ8	PAIR	791333048	791333048	1	0	789842540	0.998116	117306107222	763632801	113563780516	110986954491	0	0.005586	0.005408	0.000177	150	788352032	0.998113	5165006	0.006539	0	0.499738	0.005858	0.000023	BS_Y2A1ZWZ8		
