0016b2d9-52b7-49c9-a034-c01a6071aacb.bam BS_CXN0498B
130906_I1089_FCC2D5HACXX_L3_ARCGHmM044AIAAAPEI-37_2.fq.gz BS_9P8V28RT
130906_I1089_FCC2D5HACXX_L4_ARCGHmM044AIAAAPEI-37_1.fq.gz BS_9P8V28RT
130906_I1089_FCC2D5HACXX_L4_ARCGHmM044AIAAAPEI-37_2.fq.gz BS_9P8V28RT
130906_I1089_FCC2D5HACXX_L5_ARCGHmM044AJAAAPEI-41_1.fq.gz BS_9P8V28RT
130906_I1089_FCC2D5HACXX_L5_ARCGHmM044AJAAAPEI-41_2.fq.gz BS_9P8V28RT
130906_I1089_FCC2D5HACXX_L6_ARCGHmM044AJAAAPEI-41_1.fq.gz BS_9P8V28RT
130906_I1089_FCC2D5HACXX_L6_ARCGHmM044AJAAAPEI-41_2.fq.gz BS_9P8V28RT
1362fe14-e702-4618-960b-d20ded0d9ba0.bam BS_QBZDQX7A
13670e4f-c25a-46bc-ab18-d6060ff952bb.bam BS_D6XHKZDZ
142fccd0-a038-452a-b7e9-e7a8841301b5.bam BS_AM3MBT9Y
142fccd0-a038-452a-b7e9-e7a8841301b5.local.transcript.bam BS_AM3MBT9Y
1493509f-28c5-4373-a3ee-cf9cb7f204c3.bam BS_PB4M4WC3
1585dfb5-10f5-4d41-981a-822850eff589.bam BS_MJJZJMTK
16344d50-cb2a-4592-b145-7f17d4aa6277.bam BS_EAFYPGGK
16344d50-cb2a-4592-b145-7f17d4aa6277.local.transcript.bam BS_EAFYPGGK
168fa135-546d-4878-81e0-cab85c315236.bam BS_P6TZH0H5
168fa135-546d-4878-81e0-cab85c315236.local.transcript.bam BS_P6TZH0H5
16a39492-beb1-4b59-9534-d1dae8187ca3.bam BS_CCMC1BCA
16a39492-beb1-4b59-9534-d1dae8187ca3.local.transcript.bam BS_CCMC1BCA
16bd4555-5e9a-4b74-b9e8-2ea979a07941.bam BS_KNZJ27XM
16bd4555-5e9a-4b74-b9e8-2ea979a07941.local.transcript.bam BS_KNZJ27XM
17327cc5-e81c-42a7-86ab-939bd0e963a0.bam BS_BFDEZK1C
1750dd2e-524f-4355-8bb8-e0f55ced18a5.bam BS_AGD2ATY1
17556e26-ea02-41f5-8b74-b11c2dbd8af8.bam BS_G405AJB2
17556e26-ea02-41f5-8b74-b11c2dbd8af8.local.transcript.bam BS_G405AJB2
17ae1f57-6e8c-4b46-90b5-4d4e7809fec8.bam BS_1DPVD92P
17ae1f57-6e8c-4b46-90b5-4d4e7809fec8.local.transcript.bam BS_1DPVD92P
17c9b907-e454-4552-9569-57a473e0b2e9.bam BS_NR8XWMR1
17c9b907-e454-4552-9569-57a473e0b2e9.local.transcript.bam BS_NR8XWMR1
19cee6a5-642c-4e6b-90c8-aeb33820910b.bam BS_FNM4BB83
1a490c04-2360-45d9-ab82-01437e68aff4.bam BS_N4B3WB8W
1b347c81-52c4-4311-bfc6-b233e4f12680.bam BS_4PAE19ZC
1b4a68bd-598c-42d6-891f-f3744afdbc7d.bam BS_Z3H9D9ZY
1b4a68bd-598c-42d6-891f-f3744afdbc7d.local.transcript.bam BS_Z3H9D9ZY
1b7031c0-4532-481d-8c2a-4bdae3f6a052.bam BS_R1RMKH1B
1bef3759-1821-4535-9cc1-de7adfdd87b1.local.transcript.bam BS_CRERM49C
1c3b6237-be14-43d2-8211-0988cab4c3dc.bam BS_C35YMH8Z
1c3b6237-be14-43d2-8211-0988cab4c3dc.local.transcript.bam BS_C35YMH8Z
1c9b28cf-c044-4cf1-a98f-6f5c69aa9782.bam BS_54NFHCDW
1c9b28cf-c044-4cf1-a98f-6f5c69aa9782.local.transcript.bam BS_54NFHCDW
1cf62bda-d837-4473-8930-7490a251b1d7.bam BS_TFEK45P2
1cf62bda-d837-4473-8930-7490a251b1d7.local.transcript.bam BS_TFEK45P2
1d5ad092-e4c1-4f01-b1c6-438b88890485.bam BS_F0FGPYXV
1dc76056-7e65-4eb0-a1ea-fdc3460b12b2.bam BS_0CRNZ2EH
1dc76056-7e65-4eb0-a1ea-fdc3460b12b2.local.transcript.bam BS_0CRNZ2EH
1e1e8a2d-d746-4c92-97d4-22cf3bc48392.bam BS_THJHJ7TR
1e8cdad1-8984-430d-b8c5-15565c7cbe83.bam BS_CXCKHP3Z
1ef7f947-f77b-42db-850f-1838b7e2aaa6.bam BS_MG0CH1B6
1ef7f947-f77b-42db-850f-1838b7e2aaa6.local.transcript.bam BS_MG0CH1B6
1f0727d4-ec19-489d-ac44-80adb401cccc.bam BS_YGQS4660
1f0d32a3-441b-498e-9838-1891c5b5e477.bam BS_MEPW36WF
1f7221c2-0240-4ad8-88a6-0e3ab460cf0d.bam BS_230S192D
1fa8f15f-17b5-4243-9549-4d07e3f3e3f9.bam BS_18SN1M2F
1fa8f15f-17b5-4243-9549-4d07e3f3e3f9.local.transcript.bam BS_18SN1M2F
20037c1c-835d-44f3-a338-001c2d7be86f.bam BS_XHAQXDR0
